,Company,Title,link,Requirement since,location
62,Gradient Zero,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-gradient-zero-3787778934?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=6xCkT%2BuaOcLrFZ8e5Ak%2FhQ%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Herndon, VA"
63,"o9 Solutions, Inc.",Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-o9-solutions-inc-3777057028?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=rul3eOmW4LENqhsop5uYwQ%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago,"Texas, United States"
64,ASK Consulting,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-ask-consulting-3775000571?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=sqWZIXEsO5b%2FuwmJTHeQKw%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card,2 weeks ago,United States
65,Steneral Consulting,Data Scientist (Machine Learning),https://www.linkedin.com/jobs/view/data-scientist-machine-learning-at-steneral-consulting-3773353167?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=PzJZXJ7O7Or7VsP65XSUnA%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card,3 weeks ago,United States
66,Talener,Machine Learning Engineer ( Remote ),https://www.linkedin.com/jobs/view/machine-learning-engineer-remote-at-talener-3766990842?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=W81MZ2y51NUQmyc1RMG%2BCw%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago,Greater Chicago Area
67,Scipher Medicine,Data Scientist-Bioinformatics,https://www.linkedin.com/jobs/view/data-scientist-bioinformatics-at-scipher-medicine-3774715550?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=x3wdqXd4DQgmYuBinXlRDg%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card,6 days ago,"Waltham, MA"
68,Saragossa,"Machine Learning Engineer – up to $300,000 + Stock Options",https://www.linkedin.com/jobs/view/machine-learning-engineer-%E2%80%93-up-to-%24300-000-%2B-stock-options-at-saragossa-3782776097?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=AfQb0D9VpSNyLhedmvbelg%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card,6 days ago,San Francisco Bay Area
69,SimIS Inc.,Data Scientist (USSOCOM),https://www.linkedin.com/jobs/view/data-scientist-ussocom-at-simis-inc-3787737653?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=XpAn3yRU9S4fMeksxmUKOQ%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago,"Tampa, FL"
70,Lever Middleware Test Company 2,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-lever-middleware-test-company-2-3787338314?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=ow46I4163OG5fncEvh%2BEpw%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Minneapolis, MN"
71,Burtch Works,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-burtch-works-3778877258?refId=zs8tLTZzZYvvIp40WKWSUg%3D%3D&trackingId=aivov3%2BSvHmVLUhlFhChGA%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago,Washington DC-Baltimore Area
72,Snap Inc.,Machine Learning Engineer,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-snap-inc-3787717768?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=ui8dsMiZ62JhYj8TPWn6Yg%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card,3 weeks ago,"Seattle, WA"
73,Insight Global,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-insight-global-3780036274?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=zPAAazIUIcb3v7I59KJCEw%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card,2 weeks ago,United States
74,VPNforAndroid,Junior Python Developer ( US Only),https://www.linkedin.com/jobs/view/junior-python-developer-us-only-at-vpnforandroid-3791821280?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=X4KJAVV%2FpohArkNNhYImtw%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card,6 days ago,"New York, NY"
75,SynergisticIT,Entry Level Data Scientist(Remote),https://www.linkedin.com/jobs/view/entry-level-data-scientist-remote-at-synergisticit-3767593714?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=Putu4WeMu54rTWFmYHr42w%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card,2 weeks ago,"Miami, FL"
76,Platform Staffing Group,Data Scientist Entry Level,https://www.linkedin.com/jobs/view/data-scientist-entry-level-at-platform-staffing-group-3776960305?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=9hWEySKNuXI5YssqPRsTWw%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,"Midland, MI"
77,The Sporting News,Data Scientist,https://www.linkedin.com/jobs/view/data-scientist-at-the-sporting-news-3787309178?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=quQUNrFyg27JbsQ2MI7Jcw%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card,6 days ago,"New York, NY"
78,Boston Metal,R&D Data Scientist,https://www.linkedin.com/jobs/view/r-d-data-scientist-at-boston-metal-3777098582?refId=30EM30qEqKCeCXY0y2FuEQ%3D%3D&trackingId=9cRJLZeunA3JJIa%2BgZhLVA%3D%3D&position=7&pageNum=3&trk=public_jobs_jserp-result_search-card,6 days ago,"Woburn, MA"
